aaa,9999332,8981,47,99
aab,9895529,9201,12,32
aac,9775078,7676,119,214
aad,9945583,7856,23,49
aae,9637235,8219,102,179
aaf,9301940,7889,209,346
aag,9825137,8648,5,13
aba,9917813,10124,131,237
abb,9900700,8472,23,49
abc,9984385,9340,98,187
abd,9980164,7323,8,29
abe,9730878,7601,93,144
abf,9655488,8613,189,339
abg,9669130,10500,63,99
aca,9914873,9895,363,568
acb,9601825,10360,155,334
acc,9943935,9013,184,256
acd,9709519,8990,6,16
ace,9960689,9189,35,59
acf,9881599,11120,119,185
acg,9918160,9561,111,252
ada,9828914,7707,180,312
adb,9978277,9749,100,145
adc,9870826,6913,152,335
add,9702976,9272,120,166
ade,9887481,8404,149,309
adf,9879343,8203,212,304
adg,9914854,8566,221,490
aea,9819560,8215,154,261
aeb,9524588,9843,55,137
aec,9684336,10073,149,275
aed,9993704,8652,77,176
aee,9968161,8368,127,210
aef,9931709,7563,84,152
aeg,9891102,8350,253,415
afa,9905594,11151,5,18
afb,9842743,9293,302,542
afc,9884959,8934,55,116
afd,9729066,9013,49,138
afe,9958345,8636,96,220
aff,9938462,7861,149,283
afg,9725190,8739,91,208
aga,9460387,10159,77,177
agb,9748820,8268,5,12
agc,9875157,8963,14,37
agd,9957432,8268,134,285
age,9983056,9150,559,837
agf,9947952,9173,29,74
agg,9885382,10649,66,189
baa,9971444,8234,304,584
bab,9856882,8418,42,99
bac,9581997,8951,152,272
bad,9886672,9495,22,83
bae,9796450,8517,138,279
baf,9939708,7788,34,149
bag,9955036,10388,60,127
bba,9552685,6947,5,17
bbb,9980892,7787,30,84
bbc,9999459,10868,89,159
bbd,9668878,9025,585,1112
bbe,9835366,9006,137,277
bbf,9518848,8374,424,988
bbg,9816720,8250,11,29
bca,9876882,8284,55,121
bcb,9916971,7899,131,213
bcc,9639293,9252,27,66
bcd,9880440,9388,23,52
bce,9917892,7276,10,26
bcf,9934721,9350,146,276
bcg,9927873,8249,409,884
bda,9997067,9901,101,227
bdb,9574500,7624,11,31
bdc,9922636,7586,23,78
bdd,9498080,8287,131,246
bde,9969802,10111,133,382
bdf,9810313,10320,135,247
bdg,9668559,8274,156,272
bea,9991722,9371,49,77
beb,9846112,8415,158,286
bec,9961808,8689,127,293
bed,9886920,8510,109,234
bee,9794475,10118,32,74
bef,9941230,8619,5,6
beg,9994694,7785,59,139
bfa,9767768,9561,133,270
bfb,9955424,9868,361,582
bfc,9475327,11619,280,396
bfd,9905359,8655,236,585
bfe,9904789,8053,85,214
bff,9623792,8755,80,138
bfg,9838466,9292,90,189
bga,9865060,8230,179,365
bgb,9970786,9912,137,402
bgc,9889639,8582,56,132
bgd,9775763,9940,165,249
bge,9747830,8095,137,296
bgf,9991616,8902,167,319
bgg,9835329,8451,11,44
caa,9730188,10790,102,190
cab,9709592,7949,221,334
cac,9948937,8786,23,61
cad,9697640,9012,136,223
cae,9987659,6745,67,149
caf,9567423,9218,33,66
cag,9925338,8936,265,493
cba,9792708,9171,6,19
cbb,9566766,7398,381,586
cbc,9770253,9549,177,251
cbd,9715319,7492,234,413
cbe,9889106,8825,354,777
cbf,9564867,7937,118,246
cbg,9952950,9899,157,257
cca,9872299,9570,5,5
ccb,9631511,8787,208,314
ccc,9813800,9834,158,266
ccd,9996405,6842,15,33
cce,9948348,9187,149,261
ccf,9923768,9307,171,308
ccg,9904124,9560,5,14
cda,9423490,9731,119,283
cdb,9980493,10601,145,215
cdc,9975038,8943,82,137
cdd,9922391,8664,35,121
cde,9502036,8254,7,18
cdf,9917452,9943,121,265
cdg,9970760,8109,111,199
cea,9639288,9212,56,85
ceb,9681567,8212,61,126
cec,9937205,9368,23,53
ced,9527417,10216,67,156
cee,9999136,9082,68,117
cef,9709937,8893,248,662
ceg,9982406,10753,338,555
cfa,8875849,9148,62,181
